"year","city","lat","lng","population"
2015,"Adak",51.88,-176.6580556,122
2015,"Akhiok",56.9455556,-154.1702778,84
2015,"Akiachak",60.9094444,-161.4313889,562
2015,"Akiak",60.9122222,-161.2138889,399
2015,"Akutan",54.1355556,-165.7730556,899
2015,"Alakanuk",62.6888889,-164.6152778,777
2015,"Alatna",66.5638889,-152.6666667,1
2015,"Aleknagik",59.2730556,-158.6177778,199
2015,"Aleneva",58.06,-152.9097222,59
2015,"Allakaket",66.5655556,-152.6455556,77
2015,"Ambler",67.0861111,-157.8513889,280
2015,"Anaktuvuk Pass",68.1433333,-151.7358333,247
2015,"Anchorage",61.2180556,-149.9002778,299107
2015,"Anchor Point",59.7766667,-151.8313889,1951
2015,"Anderson",64.3441667,-149.1869444,201
2015,"Angoon",57.5033333,-134.5838889,382
2015,"Aniak",61.5783333,-159.5222222,525
2015,"Anvik",62.6561111,-160.2066667,87
2015,"Arctic Village",68.1269444,-145.5377778,138
2015,"Atka",52.1961111,-174.2005556,66
2015,"Atmautluak",60.8669444,-162.2730556,258
2015,"Atqasuk",70.4691667,-157.3994444,159
2015,"Badger",64.8,-147.5333333,21197
2015,"Barrow",71.2905556,-156.7886111,4293
2015,"Bear Creek",60.1641667,-149.395,1824
2015,"Beaver",66.3594444,-147.3963889,60
2015,"Beluga",61.1411111,-151.0827778,6
2015,"Bethel",60.7922222,-161.7558333,6370
2015,"Bettles",66.9188889,-151.5161111,22
2015,"Big Delta",64.1525,-145.8422222,539
2015,"Big Lake",61.5213889,-149.9544444,3815
2015,"Birch Creek",66.2590355,-145.8190168,1
2015,"Brevig Mission",65.3347222,-166.4891667,442
2015,"Buckland",65.9797222,-161.1230556,596
2015,"Butte",61.5422222,-149.0333333,3854
2015,"Cantwell",63.3916667,-148.9508333,209
2015,"Central",65.5725,-144.8030556,58
2015,"Chalkyitsik",66.6544444,-143.7222222,101
2015,"Chase",62.4491667,-150.1016667,23
2015,"Chefornak",60.16,-164.2658333,516
2015,"Chenega",60.0663707,-148.012387,66
2015,"Chevak",61.5277778,-165.5863889,1082
2015,"Chickaloon",61.7966667,-148.4627778,284
2015,"Chicken",64.0733333,-141.9361111,0
2015,"Chignik",56.2952778,-158.4022222,70
2015,"Chignik Lagoon",56.3084393,-158.5302391,73
2015,"Chignik Lake",56.2555556,-158.7625,70
2015,"Chiniak",57.6319444,-152.1825,23
2015,"Chisana",62.0661111,-142.0408333,0
2015,"Chistochina",62.5717828,-144.6541704,59
2015,"Chitina",61.5158333,-144.4369444,80
2015,"Chuathbaluk",61.5719444,-159.245,116
2015,"Circle",65.8255556,-144.0605556,118
2015,"Clam Gulch",60.2311111,-151.3936111,182
2015,"Clarks Point",58.8441667,-158.5508333,56
2015,"Coffman Cove",56.0138889,-132.8277778,150
2015,"Cohoe",60.3686111,-151.3063889,1577
2015,"Cold Bay",55.1858333,-162.7211111,46
2015,"Coldfoot",67.2563889,-150.1841667,10
2015,"College",64.8569444,-147.8027778,14675
2015,"Cooper Landing",60.49,-149.8341667,457
2015,"Copper Center",61.9769598,-145.3297294,405
2015,"Cordova",60.5427778,-145.7575,2621
2015,"Covenant Life",59.4172222,-136.025,105
2015,"Craig",55.4763889,-133.1483333,1231
2015,"Crooked Creek",61.87,-158.1108333,98
2015,"Crown Point",60.4222222,-149.3666667,132
2015,"Deering",66.0755556,-162.7172222,144
2015,"Delta Junction",64.0377778,-145.7322222,1045
2015,"Diamond Ridge",59.6761111,-151.5575,1140
2015,"Dillingham",59.0397222,-158.4575,2307
2015,"Diomede",65.7581,-168.952,43
2015,"Dot Lake",63.6613889,-144.0644444,0
2015,"Dot Lake Village",63.6508333,-144.0438889,54
2015,"Dry Creek",63.6533333,-144.6652778,84
2015,"Eagle",64.7880556,-141.2,89
2015,"Eagle Village",64.7805556,-141.1136111,17
2015,"Edna Bay",55.9488889,-133.6622222,0
2015,"Eek",60.2188889,-162.0244444,455
2015,"Egegik",58.2155556,-157.3758333,68
2015,"Ekwok",59.3497222,-157.4752778,78
2015,"Elfin Cove",58.1944444,-136.3433333,24
2015,"Elim",64.6175,-162.2605556,328
2015,"Emmonak",62.7777778,-164.5230556,835
2015,"Ester",64.8472222,-148.0144444,3008
2015,"Eureka Roadhouse",61.9386111,-147.1680556,0
2015,"Evansville",66.9227778,-151.5080556,16
2015,"Excursion Inlet",58.4213889,-135.4366667,40
2015,"Fairbanks",64.8377778,-147.7163889,32193
2015,"False Pass",54.8508333,-163.415,37
2015,"Ferry",64.0166667,-149.1166667,6
2015,"Flat",62.4536111,-158.0075,0
2015,"Fort Yukon",66.5647222,-145.2738889,555
2015,"Fox",64.9580556,-147.6183333,558
2015,"Fox River",59.8583333,-150.9583333,649
2015,"Fritz Creek",59.7361111,-151.2952778,1910
2015,"Funny River",60.5019444,-150.7622222,776
